origin,origin_length,text_original,text_translated,pointers
0x0E01D354,22,お帰りは、あちらァ〜{nl},,0x0E01D8E0
0x0E01D36C,20,のほほのほ〜〜〜！{np},,0x0E01D8E4
0x0E01D380,15,そうである、{np}{nl},,0x0E01DAC4
0x0E01D390,28,時間がなかったのであるぞ。{np},,0x0E01DACC
0x0E01D3AC,24,こんなバカどもを相手に{nl},,0x0E01DAD8
0x0E01D3C4,28,しとる時間がもったいない。{np},,0x0E01DADC
0x0E01D3E0,26,どれ、このクロックさんが{nl},,0x0E01DAE0
0x0E01D3FC,16,助け出すのだ！{np},,0x0E01DAE4
0x0E01D40C,28,あッ、クロックさん待って！{np},,0x0E01DCA8
0x0E01D428,18,クロックさ〜ん！{np},,0x0E01DD08
0x0E01DD0C,20,のほほほほ〜〜〜！{nl},,0x0E01E0EC
0x0E01DD20,20,ザマァ〜ボンボン！{np},,0x0E01E0F4
0x0E01DD34,28,マヌケはバクダンに引っかか{nl},,0x0E01E108
0x0E01DD50,28,る〜ボン、のほほのほ〜〜〜{np},,0x0E01E10C
0x0E01DD6C,28,さあ、次にチャレンジするの{nl},,0x0E01E2C0
0x0E01DD88,18,はダレかボ〜ン？{nl},,0x0E01E2C4
0x0E01DD9C,12,{momo}ちゃ〜ん{np},,0x0E01E2C8
0x0E01DDA8,28,どうしたらいいんだろう……{np},,0x0E01E2EC
0x0E01DDC4,14,……なに、{baku}{np},,0x0E01E318
0x0E01DDD4,4,{baku}{nl},,0x0E01E508
0x0E01DDD8,18,何が言いたいの？{np},,0x0E01E50C
0x0E01DDEC,22,もしかして、{baku}の鼻で{nl},,0x0E01E538
0x0E01DE04,28,バクダンを見つけられるって{nl},,0x0E01E53C
0x0E01DE20,22,言ってるんじゃない？{np},,0x0E01E540
0x0E01DE38,14,そうだモン。{nl},,0x0E01E548
0x0E01DE48,14,きっと、{baku}は{nl},,0x0E01E54C
0x0E01DE58,24,そう言ってるんだモン！{np},,0x0E01E550
0x0E01DE70,13,{baku}お願い。{np}{nl},,0x0E01E640
0x0E01DE80,22,あたしたちを、{momo}一号{nl},,0x0E01E644
0x0E01DE98,22,の所に連れて行って！{np},,0x0E01E648
0x0E01E814,26,ちくしょう！ちくしょう！{np},,0x0E01EE9C
0x0E01E830,28,こいつら、ワン公の力を借り{nl},,0x0E01EEB4
0x0E01E84C,26,てズルイぜ、ヒキョウだ！{np},,0x0E01EEB8
0x0E01E868,18,{baku}はあたしたちの{nl},,0x0E01EED0
0x0E01E87C,28,なかまなんだから、ズルイっ{nl},,0x0E01EED4
0x0E01E898,24,てことないじゃないッ。{np},,0x0E01EED8
0x0E01E8B0,28,あたしの友達なんだからね！{np},,0x0E01EEE0
0x0E01E8CC,28,ワン公が友達だなんてヘンだ{nl},,0x0E01EEEC
0x0E01E8E8,24,ボ〜ン！　なあ、兄弟。{np},,0x0E01EEF0
0x0E01E900,10,おうよ。{nl},,0x0E01F0B8
0x0E01E90C,20,ワン公はしもべだ、{np},,0x0E01F0BC
0x0E01E920,20,いやしい、あわれな{nl},,0x0E01F0C4
0x0E01E934,18,犬ッコロだボン！{np},,0x0E01F0C8
0x0E01E948,16,ひ、ひどい……{np},,0x0E01F0D8
0x0E01E958,14,あんたたち！{nl},,0x0E01F0DC
0x0E01E968,22,なんてこと言うのよ！{np},,0x0E01F0E0
0x0E01E980,28,こいつ、ホントのこと言われ{nl},,0x0E01F0E8
0x0E01E99C,22,ておこってるボ〜ン。{np},,0x0E01F0EC
0x0E01E9B4,14,ちがうもん！{nl},,0x0E01F104
0x0E01E9C4,22,{baku}はあたしの大ッ事な{nl},,0x0E01F108
0x0E01E9DC,22,大ッ事な友達だもの！{np},,0x0E01F10C
0x0E01E9F4,14,くっそォ〜、{nl},,0x0E01F360
0x0E01EA04,28,おぼえてろボォォォォン……{np},,0x0E01F364
0x0E01EA20,8,{baku}は、{nl},,0x0E01F550
0x0E01EA28,22,大事な友達だもの……{np},,0x0E01F554
0x0E01EA40,12,{momo}ちゃん！{nl},,0x0E01F574
0x0E01EA4C,22,ジュディと{baku}とどっち{nl},,0x0E01F578
0x0E01EA64,18,が大事な友達！？{np},,0x0E01F57C
0x0E01EA78,16,えっ？　えッ？{np},,0x0E01F584
0x0E01EA88,24,どっちが大切な友達！？{np},,0x0E01F588
0x0E01EAA0,22,ダレが大切かなんて、{nl},,0x0E01F58C
0x0E01EAB8,20,くらべらんないよ。{np},,0x0E01F590
0x0E01EACC,28,ヤダヤダ！！ジュディの方が{nl},,0x0E01F594
0x0E01EAE8,22,{baku}なんかより、ずーっ{nl},,0x0E01F598
0x0E01EB00,26,と長い付き合いなのにッ！{np},,0x0E01F59C
0x0E01EB1C,18,ジュディったら…{np},,0x0E01F5A0
0x0E01EB30,26,ジュディ、やきもちだモン{np},,0x0E01F5A4
0x0E01EB4C,9,フンだ！,,0x0E01F5A8
0x0E01EB58,20,それより{momo}ちゃん、{nl},,0x0E01F6BC
0x0E01EB6C,26,クロックさんがいないと、{nl},,0x0E01F6C0
0x0E01EB88,28,おうちに帰れないモン………{np},,0x0E01F6C4
0x0E01EBA4,22,…………どうしよう？{np},,0x0E01F6CC
0x0E01EBBC,18,うん………でも、{nl},,0x0E01F6D0
0x0E01EBD0,28,この世界にはおじいちゃんが{nl},,0x0E01F6D4
0x0E01EBEC,16,いるんでしょ？{np},,0x0E01F6D8
0x0E01EBFC,28,おじいちゃんは、機械いじり{nl},,0x0E01F6DC
0x0E01EC18,20,がしゅみだったの。{np},,0x0E01F6E0
0x0E01EC2C,24,きっと、クロックさんも{nl},,0x0E01F6E4
0x0E01EC44,26,直してくれると思うんだ！{np},,0x0E01F6E8
0x0E01F6EC,12,なあに、{baku}{np},,0x0E01FE24
0x0E01F6F8,28,もう、バクダンはないんだか{nl},,0x0E01FE34
0x0E01F714,26,ら、においはかがなくても{nl},,0x0E01FE38
0x0E01F730,14,いいんだよ。{np},,0x0E01FE3C
0x0E01F748,24,{baku}はここに何かあるって{nl},,0x0E01FE68
0x0E01F760,26,言ってるんじゃないかな？{np},,0x0E01FE6C
0x0E01F77C,22,キャア！バクダン！？{np},,0x0E01FE78
0x0E01F794,10,ええっ！{np},,0x0E020034
0x0E01F7A0,12,なあんだ、{nl},,0x0E02007C
0x0E01F7AC,20,リュックじゃない。{np},,0x0E020080
0x0E01F7C0,26,あ…このリュックは………{np},,0x0E020088
0x0E01F7DC,22,そうだよ。{momo}ちゃんが{nl},,0x0E020090
0x0E01F7F4,28,ようちえんのころに使ってた{nl},,0x0E020094
0x0E01F810,18,リュックだグア。{np},,0x0E020098
0x0E01F824,28,でも、かたヒモが切れちゃっ{nl},,0x0E02009C
0x0E01F840,24,て、もうせおえないね。{np},,0x0E0200A0
0x0E01F858,24,ああ、なつかしいなあ…{nl},,0x0E0200A8
0x0E01F870,24,なんでも入る、まほうの{nl},,0x0E0200AC
0x0E01F888,28,リュックって言ってたのに…{np},,0x0E0200B0
0x0E01F8A4,24,じゃあ、これはホントに{nl},,0x0E0200B4
0x0E01F8BC,26,まほうのリュックだモン。{np},,0x0E0200B8
0x0E01F8D8,12,{momo}ちゃんが{nl},,0x0E0200BC
0x0E01F8E4,22,信じるコトはなんでも{nl},,0x0E0200C0
0x0E01F8FC,22,本当になるんだモン。{np},,0x0E0200C4
0x0E01F914,26,本当にまほうのリュックに{nl},,0x0E020298
0x0E01F930,10,なるの？{np},,0x0E02029C
0x0E01F93C,16,わあ、すごい！{nl},,0x0E0202E0
0x0E01F94C,26,これならポッケにも入れて{nl},,0x0E0202E8
0x0E01F968,26,行けるネ！持っていこう！{np},,0x0E0202EC
0x0E01F984,20,それより{momo}ちゃん。{nl},,0x0E02049C
0x0E01F998,28,小一山をこえたいんだグア？{np},,0x0E0204A0
0x0E01F9B4,10,{momo}一号、{nl},,0x0E0204AC
0x0E01F9C0,20,ほんとに飛べるの？{np},,0x0E0204B0
0x0E01F9D4,18,もちろんだガア！{nl},,0x0E0204B4
0x0E01F9E8,22,{momo}ちゃん、いつもボク{nl},,0x0E0204B8
0x0E01FA00,26,のせなかで言ってたガア！{np},,0x0E0204BC
0x0E01FA1C,20,「お空をとぶんだ、{nl},,0x0E0204C0
0x0E01FA30,18,{momo}一号！」って。{np},,0x0E0204C4
0x0E01FA44,22,ホントだね、あたし、{nl},,0x0E0204C8
0x0E01FA5C,26,わすれちゃってたんだ……{np},,0x0E0204CC
0x0E01FA78,22,{momo}ちゃんがボクのコト{nl},,0x0E0204D0
0x0E01FA90,26,わすれてた時は、飛べなく{nl},,0x0E0204D4
0x0E01FAAC,24,なってたんだグアァ……{np},,0x0E0204D8
0x0E01FAC4,22,だからポテトのヤツに{nl},,0x0E0204DC
0x0E01FADC,20,つかまっちゃって…{np},,0x0E0204E0
0x0E01FAF0,26,そうだったの…ゴメンね。{np},,0x0E0204EC
0x0E01FB0C,20,でもだいじょうぶ！{nl},,0x0E0204F0
0x0E01FB20,24,思いだしてくれたから、{nl},,0x0E0204F4
0x0E01FB38,21,ちゃんと飛べるガア！,,0x0E0204F8
0x0E01FB50,2,{np},,0x0E020500
0x0E01FB54,18,じゃあ、みんな、{nl},,0x0E020504
0x0E01FB68,22,おじいちゃんのトコに{nl},,0x0E020508
0x0E01FB80,10,行こう！{np},,0x0E02050C
0x0E01FB8C,12,{momo}一号で！{np},,0x0E020510
0x0E01FB98,8,あっ、{np},,0x0E0206E4
0x0E01FBA0,18,{baku}はどうしよう。{np},,0x0E0206EC
0x0E01FBB4,24,もしかして、この国では{nl},,0x0E02070C
0x0E01FBCC,20,{baku}も飛べるのかな？{np},,0x0E020710
0x0E01FBE0,20,だいじょうぶだガア{nl},,0x0E020714
0x0E01FBF4,12,{momo}ちゃん。{np},,0x0E020718
0x0E01FC00,20,ボクといっしょなら{nl},,0x0E02071C
0x0E01FC14,20,きっと、大きな耳で{nl},,0x0E020720
0x0E01FC28,13,飛べるガア！,,0x0E020724
0x0E020C34,25,わあ〜気持ちいい〜！！{np}{nl},,0x0E02150C
0x0E020C50,22,{baku}、ホントに飛んでる{nl},,0x0E021514
0x0E020C68,10,んだよ！{np},,0x0E021518
0x0E020C74,22,{baku}は、どうしてみんな{nl},,0x0E021528
0x0E020C8C,28,みたく話すことができないの{nl},,0x0E02152C
0x0E020CA8,8,かな？{np},,0x0E021530
0x0E020CB0,12,そりゃぁ、{nl},,0x0E0216E4
0x0E020CBC,16,まだ{momo}ちゃんと{nl},,0x0E0216E8
0x0E020CCC,28,お友達になってないからよ。{np},,0x0E0216EC
0x0E020CE8,18,{momo}ちゃんと話せる{nl},,0x0E0216F0
0x0E020CFC,20,なんて十年早いわ！{np},,0x0E0216F4
0x0E020D10,24,もお！ジュディったら！{np},,0x0E0216F8
0x0E020D28,26,いいかげんにキゲンなおさ{nl},,0x0E0216FC
0x0E020D44,26,ないと、コショコショする{nl},,0x0E021700
0x0E020D60,10,からね！{np},,0x0E021704
0x0E020D6C,8,フンだ{np},,0x0E021720
0x0E020D74,20,でも、{baku}も、みんな{nl},,0x0E021728
0x0E020D88,28,みたいに話すことができたら{nl},,0x0E02172C
0x0E020DA4,14,いいのにね。{np},,0x0E021730
0x0E020DB4,22,あんた、少しは景色を{nl},,0x0E021744
0x0E020DCC,26,ながめてみたらどうなの？{np},,0x0E021748
0x0E020DE8,24,やだモン。こわいよぉ〜{np},,0x0E02174C
0x0E020E00,24,うりうり、見るのじゃ！{np},,0x0E02190C
0x0E020E18,20,やだやだやだモン。{nl},,0x0E021910
0x0E020E2C,22,ジュディやめてよぉ。{nl},,0x0E021914
0x0E020E44,14,やめてよぉ。{np},,0x0E021918
0x0E020E54,19,コラ！ジュディ！{np}{nl},,0x0E02192C
0x0E020E68,26,コショコショのケイだあ！{np},,0x0E021934
0x0E020E84,20,きゃあ、{momo}ちゃん、{nl},,0x0E021938
0x0E020E98,14,ゆるして！！{np},,0x0E02193C
0x0E020EA8,12,ジュディ、{nl},,0x0E021940
0x0E020EB4,22,コショコショだけは、{nl},,0x0E021944
0x0E020ECC,26,キャハハハハハハ…………{np},,0x0E021948
0x0E020EE8,26,よ、弱いのよおキャハハハ{nl},,0x0E02194C
0x0E020F04,18,ごめん、ゴメン！{np},,0x0E021950
0x0E020F18,18,キゲンなおすって{nl},,0x0E021954
0x0E020F2C,20,やくそくしなさい！{np},,0x0E021958
0x0E020F40,26,キャハハ、やくそくする！{nl},,0x0E02195C
0x0E020F5C,22,ニャハハ、ゆるして、{nl},,0x0E021960
0x0E020F74,22,{momo}ちゃん！ヒーヒー…{np},,0x0E021964
0x0E020F8C,16,グアッグアッ！{nl},,0x0E021974
0x0E020F9C,12,{momo}ちゃん、{nl},,0x0E021978
0x0E020FA8,22,小一山をこえたガア！{np},,0x0E02197C
0x0E020FC0,12,やったあ！{np},,0x0E021980
0x0E020FCC,18,さあ、この調子で{nl},,0x0E021B18
0x0E020FE0,26,おじいちゃんのいる森まで{nl},,0x0E021B1C
0x0E020FFC,16,飛んでいこう！{np},,0x0E021B20
0x0E02100C,20,おじいちゃんなら、{nl},,0x0E021B3C
0x0E021020,22,きっとクロックさんを{nl},,0x0E021B40
0x0E021038,18,直してくれるよ！{np},,0x0E021B44
0x0E02104C,20,ちょっと待った！！{nl},,0x0E021B48
0x0E021060,14,{momo}ちゃん！！{np},,0x0E021B4C
0x0E021070,28,この先って、もしかして……{nl},,0x0E021B50
0x0E02108C,18,レモンヶ丘じゃ…{np},,0x0E021B54
0x0E0210A0,20,ん………そうなの？{nl},,0x0E021B58
0x0E0210B4,22,それがどうかしたの？{np},,0x0E021B5C
0x0E0210CC,14,いやだモン！{nl},,0x0E021B60
0x0E0210DC,22,レモンヶ丘はミラクル{nl},,0x0E021B64
0x0E0210F4,24,レモンズがいるモン！！{np},,0x0E021B68
0x0E02110C,26,ミラクルレモンズだけは、{nl},,0x0E021B6C
0x0E021128,16,にがてだグア！{np},,0x0E021B70
0x0E021138,26,ボクなんか、あいつのスラ{nl},,0x0E021B74
0x0E021154,26,イスこうげき一回で、サビ{nl},,0x0E021B78
0x0E021170,28,サビになっちゃうクエー…！{np},,0x0E021B7C
0x0E02118C,26,どうして？だって、飛んで{nl},,0x0E021B80
0x0E0211A8,22,行けばいいじゃない。{np},,0x0E021B84
0x0E0211C0,18,おっきな小一山が{nl},,0x0E021B88
0x0E0211D4,26,飛びこえられたんだもん！{np},,0x0E021B8C
0x0E0211F0,22,レモンヶ丘の上には、{nl},,0x0E021B90
0x0E021208,26,すごく強い気流があって、{nl},,0x0E021B94
0x0E021224,24,飛びこえられないグア！{np},,0x0E021B98
0x0E02123C,28,すっぱいの、キライだモン。{nl},,0x0E021B9C
0x0E021258,26,お目目がしみちゃうモン。{np},,0x0E021BA0
0x0E021274,28,レモンパックって、実はシミ{nl},,0x0E021BA4
0x0E021290,28,のゲンインになるのよねー。{np},,0x0E021BA8
0x0E0212AC,10,あたし、{nl},,0x0E021BAC
0x0E0212B8,26,あいつらだけはヤーよぉ。{np},,0x0E021BB0
0x0E0212D4,28,しかたないなあ…おりよう。{np},,0x0E021CB8
0x0E021FA8,24,どうしようか…みんな、{nl},,0x0E022574
0x0E021FC0,28,レモンだけはイヤだって……{np},,0x0E02257C
0x0E021FDC,22,しょうがないね、{baku}と{nl},,0x0E02259C
0x0E021FF4,24,あたしだけで行こうか。{np},,0x0E0225A0
0x0E02200C,29,ヤダヤダ！ジュディも行く！{np}{nl},,0x0E0225BC
0x0E02202C,22,{momo}ちゃんとはなれるの{nl},,0x0E0225C0
0x0E022044,10,ヤダ！！{np},,0x0E0225C4
0x0E022050,28,ジュディ、ワガママだモン。{np},,0x0E0225C8
0x0E02206C,14,クア…ッ！！{nl},,0x0E0225D0
0x0E02207C,22,{momo}ちゃん、リュック！{nl},,0x0E02277C
0x0E022094,28,まほうのリュックだグアッ！{np},,0x0E022780
0x0E0220B0,9,ええ？{np}{nl},,0x0E022790
0x0E0220BC,12,さっき{baku}が{nl},,0x0E022794
0x0E0220C8,28,ほりだしたリュックのコト？{np},,0x0E022798
0x0E0220E4,24,クワックワッそうだよ。{nl},,0x0E02279C
0x0E0220FC,28,みんな、それに入って行けば{nl},,0x0E0227A0
0x0E022118,12,いいガア！{np},,0x0E0227A4
0x0E022124,16,リュックって、{nl},,0x0E0227B8
0x0E022134,22,こんなに小さいのよ？{np},,0x0E0227BC
0x0E02214C,10,あーっ！{np},,0x0E0227EC
0x0E022158,8,クワッ{nl},,0x0E0227F0
0x0E022160,16,さあ、みんな！{np},,0x0E0227F4
0x0E022170,18,この中に入って、{nl},,0x0E0229C8
0x0E022184,18,{momo}ちゃんに連れて{nl},,0x0E0229CC
0x0E022198,22,行ってもらうグアッ。{np},,0x0E0229D0
0x0E0221B0,26,そんなあ、このリュックに{nl},,0x0E0229E4
0x0E0221CC,28,みんな、なんて入るワケ……{np},,0x0E0229E8
0x0E0221E8,28,みんな…？　もしかして……{nl},,0x0E022A20
0x0E022204,18,リュックの中に？{np},,0x0E022A24
0x0E022218,22,手伝えなくてゴメンね{np},,0x0E022BD4
0x0E022230,20,クエー…{momo}ちゃん、{nl},,0x0E022BE4
0x0E022244,26,役にたてなくてゴメン……{np},,0x0E022BE8
0x0E022260,22,おうえんしてるから…{nl},,0x0E022BEC
0x0E022278,14,グエックエー{np},,0x0E022BF0
0x0E022288,28,おじいちゃんの住んでる所は{nl},,0x0E022BF4
0x0E0222A4,28,きっとレモン達が知ってると{nl},,0x0E022BF8
0x0E0222C0,12,思うモン。{np},,0x0E022BFC
0x0E0222CC,12,{momo}ちゃん、{nl},,0x0E022C00
0x0E0222D8,14,がんばって！{np},,0x0E022C04
0x0E0222E8,20,{baku}と、あたしだけに{nl},,0x0E022E20
0x0E0222FC,20,なっちゃったね……{np},,0x0E022E28
0x0E022310,28,はげましてくれてるんだね。{nl},,0x0E022E48
0x0E02232C,22,うん、{baku}、がんばって{nl},,0x0E022E4C
0x0E022344,10,行こう！{np},,0x0E022E50
0x0E023084,16,や〜いや〜い、{nl},,0x0E023394
0x0E023094,20,おにょにょのぷぅ〜{np},,0x0E02339C
0x0E0230A8,18,ぷっぷくぷぅ〜、{nl},,0x0E0233A8
0x0E0230BC,16,ボンボボ〜ン！{np},,0x0E0233AC
0x0E0230CC,18,オレたちゃ最強！{nl},,0x0E0233B0
0x0E0230E0,20,おとといきやがれ、{nl},,0x0E0233B4
0x0E0230F4,24,もっかいやるかボ〜ン？{np},,0x0E0233B8
0x0E02310C,28,オレたちゃ、何度でも相手、{nl},,0x0E0233BC
0x0E023128,18,してやるボ〜ン！{np},,0x0E0233C0
0x0E02313C,16,{baku}、おねがい！{nl},,0x0E0234AC
0x0E02314C,23,もう１回がんばって！{np}{nl},,0x0E0234B0
0x0E023164,18,{momo}一号を助けて！{np},,0x0E0234B4
0x0E0234F0,20,ごめんね、{momo}一号。{nl},,0x0E02362C
0x0E023504,24,置き忘れちゃって………{np},,0x0E023634
0x0E02351C,14,いいんだよ。{nl},,0x0E023640
0x0E02352C,12,{momo}ちゃん。{nl},,0x0E023644
0x0E023538,26,助けてくれてありがとう！{np},,0x0E023648
0x0E023658,13,{opt}レモンが丘{nl},,0x0E023734
0x0E023668,13,{opt}ミニゲーム{nl},,0x0E023738
0x0E023678,19,{opt}レモンが丘　勝ち{nl},,0x0E02373C
0x0E023818,18,来ちゃったね……{np},,0x0E023C40
0x0E02382C,10,なんか、{nl},,0x0E023C54
0x0E023838,20,気味が悪いよね……{np},,0x0E023C58
0x0E02384C,16,そこのお前！！{np},,0x0E023C60
0x0E02385C,16,いったいここに{nl},,0x0E023E54
0x0E02386C,24,何の用だァァァァァッ！{np},,0x0E023E5C
0x0E023884,16,おじいちゃんに{nl},,0x0E023E70
0x0E023894,20,会いに行きたいの。{nl},,0x0E023E74
0x0E0238A8,22,だからここを通して。{np},,0x0E023E78
0x0E0238C0,12,ホホホホ！{nl},,0x0E024034
0x0E0238CC,26,ここは、なんぴとたりとも{nl},,0x0E02403C
0x0E0238E8,22,通さないィィィィッ！{np},,0x0E024040
0x0E023900,22,そんなケチくさいこと{nl},,0x0E024060
0x0E023918,26,言わないで、通してよお！{np},,0x0E024064
0x0E023934,28,あたくし達の悪口を言うとは{nl},,0x0E02407C
0x0E023950,26,ゆるせないィィィィィッ！{np},,0x0E024080
0x0E02396C,18,ゼッタイに通して{nl},,0x0E024088
0x0E023980,22,やらないィィィィッ！{np},,0x0E02408C
0x0E023998,16,ムリにでも通る{nl},,0x0E024090
0x0E0239A8,20,というのであれば、{nl},,0x0E024094
0x0E0239BC,28,こうしてやるゥゥゥゥゥッ！{np},,0x0E024098
0x0E0239D8,18,いくぞ！妹よッ！{np},,0x0E0240A0
0x0E0239EC,20,ハイッ、お姉様！！{np},,0x0E0240A4
0x0E023A00,18,スッパッパ〜ッ！{np},,0x0E024170
0x0E0241C4,22,やったあーーーー！！{np},,0x0E0242B8
0x0E024398,12,キュウ……{np},,0x0E024E1C
0x0E0243A4,8,ねえ、{nl},,0x0E024E34
0x0E0243AC,24,あたしのおじいちゃんの{nl},,0x0E024E38
0x0E0243C4,28,住んでいる場所、知らない？{np},,0x0E024E3C
0x0E0243E0,18,教えてくれたら、{nl},,0x0E024E44
0x0E0243F4,24,その重いレモンの下から{nl},,0x0E024E48
0x0E02440C,16,出して上げる。{np},,0x0E024E4C
0x0E02441C,28,あたくし達に、知らないこと{nl},,0x0E024E5C
0x0E024438,22,など何もないコトよ。{nl},,0x0E024E60
0x0E024450,12,ねえ、妹？{np},,0x0E024E64
0x0E02445C,22,そうです、お姉さま。{nl},,0x0E024E68
0x0E024474,24,など何もござーません。{np},,0x0E024E6C
0x0E02448C,12,ホント！？{nl},,0x0E024E70
0x0E024498,24,じゃあ、おじいちゃん、{nl},,0x0E024E74
0x0E0244B0,22,ドコに住んでいるの！{np},,0x0E024E78
0x0E0244C8,28,教えてやらないィィ〜〜ッ！{np},,0x0E024E7C
0x0E0244E4,16,ムッカァ〜ッ！{nl},,0x0E025028
0x0E0244F4,22,そうゆうかわいくない{nl},,0x0E02502C
0x0E02450C,16,こというワケ！{np},,0x0E025030
0x0E02451C,14,おどかしても{nl},,0x0E02503C
0x0E02452C,20,ムダよムダムダァ！{np},,0x0E025040
0x0E024540,22,あたくし達には、まだ{nl},,0x0E025048
0x0E024558,28,強ォォォい味方がいるゥゥ！{np},,0x0E02504C
0x0E024574,12,先生ーッ、{nl},,0x0E025050
0x0E024580,20,おねがいしますッ！{np},,0x0E025054
0x0E024594,13,呼んだガン、,,0x0E025060
0x0E0245A4,11,心の友よ。,,0x0E025064
0x0E0245B0,20,おおッ、心の友よ、{nl},,0x0E02528C
0x0E0245C4,14,そのすがたは{nl},,0x0E025294
0x0E0245D4,24,いったいどうしたのだ！{np},,0x0E025298
0x0E0245EC,12,あの女に、{nl},,0x0E0252A4
0x0E0245F8,28,イジメられたんですゥゥゥッ{np},,0x0E0252A8
0x0E024614,12,そうです。{np},,0x0E0252AC
0x0E024620,28,あたくしたちが遊んでたら、{nl},,0x0E0252B0
0x0E02463C,28,いきなりあの女とワン公が、{nl},,0x0E0252B4
0x0E024658,28,おそいかかってきたんです！{np},,0x0E0252B8
0x0E024674,18,あたくし、もう、{nl},,0x0E0252BC
0x0E024688,26,コワくってコワくって……{np},,0x0E0252C0
0x0E0246A4,16,ヌウ…お前か！{nl},,0x0E0252D4
0x0E0246B4,28,わが心の友をこのようなヒド{nl},,0x0E0252D8
0x0E0246D0,28,イ目にあわせた悪い女とは…{np},,0x0E0252DC
0x0E0246EC,20,先生ッ！その調子！{nl},,0x0E0252E0
0x0E024700,26,ビシッとやってください、{nl},,0x0E0252E4
0x0E02471C,14,ビシッと！！{np},,0x0E0252E8
0x0E02472C,26,ちょっと、話しを聞いて！{nl},,0x0E0252F4
0x0E024748,24,悪いのはレモンの方よ！{np},,0x0E0252F8
0x0E024760,28,あたしはただおじいちゃんの{nl},,0x0E0252FC
0x0E02477C,20,所に行こうとして…{np},,0x0E025300
0x0E024790,12,だまれい！{np},,0x0E025304
0x0E02479C,28,いいわけするんじゃありませ{nl},,0x0E025308
0x0E0247B8,28,んって、お母さんに教わらな{nl},,0x0E02530C
0x0E0247D4,14,かったのか！{np},,0x0E025310
0x0E0247E4,18,ハッ！まさか！！{nl},,0x0E0254B8
0x0E0247F8,21,………お前は……！！,,0x0E0254BC
0x0E024810,2,{np},,0x0E0254C4
0x0E024814,18,えッ、なによ…！{np},,0x0E0254DC
0x0E024828,8,{momo}……{nl},,0x0E0254E0
0x0E024830,16,{momo}ちゃん…！！{np},,0x0E0254E4;0x0E0263A4
0x0E024840,10,………？{nl},,0x0E0254F8
0x0E02484C,24,どうしてあたしの名前を{nl},,0x0E0254FC
0x0E024864,14,知ってるの？{np},,0x0E025500
0x0E024874,28,オレだよ！ガンボットだよ！{np},,0x0E025504
0x0E024890,14,せ、先生！？{np},,0x0E025508
0x0E0248A0,26,この人は、オレ様の第二の{nl},,0x0E025518
0x0E0248BC,16,ご主人様だ！！{np},,0x0E02551C
0x0E0248CC,28,ガガーン！な、なんとッ！！{np},,0x0E025520
0x0E0248E8,25,よく聞け、レモンども！{np}{nl},,0x0E025524
0x0E024904,28,オレ様はご主人様にはぜった{nl},,0x0E025528
0x0E024920,28,いにさからわないのだガン！{np},,0x0E02552C
0x0E02493C,26,おれ様がユウシュウな戦士{nl},,0x0E025530
0x0E024958,16,だからだゴン！{np},,0x0E025534
0x0E024968,18,さあ、{momo}ちゃんの{nl},,0x0E025538
0x0E02497C,26,おじいちゃんのいばしょを{nl},,0x0E02553C
0x0E024998,24,さっさと言うんだゴン！{np},,0x0E025540
0x0E0249B0,22,ウウ…だけど言ったら{nl},,0x0E0256EC
0x0E0249C8,26,ハクサイだいまおうさまに{nl},,0x0E0256F0
0x0E0249E4,28,オシオキされちゃうう………{np},,0x0E0256F4
0x0E024A00,10,ナニ！！{nl},,0x0E0256F8
0x0E024A0C,28,お前達はハクサイだいまおう{nl},,0x0E0256FC
0x0E024A28,26,の手下だったのかガン！？{np},,0x0E025700
0x0E024A44,28,妹ッ！よけいなコト言って、{nl},,0x0E025704
0x0E024A60,16,このおばか！！{np},,0x0E025708
0x0E024A70,24,お前達…今までオレ様を{nl},,0x0E02570C
0x0E024A88,28,だましていたんだゴン………{np},,0x0E025710
0x0E024AA4,18,ゆるせん………！{nl},,0x0E025714
0x0E024AB8,28,ウソをつくヤツはもはや心の{nl},,0x0E025718
0x0E024AD4,28,友でもなんでもないゴン！！{np},,0x0E02571C
0x0E024AF0,26,あわわわ…ウソだなんて、{nl},,0x0E025720
0x0E024B0C,28,と、とんでもないですわ！！{np},,0x0E025724
0x0E024B28,28,そ、その方のさがしていらっ{nl},,0x0E025728
0x0E024B44,22,しゃる、ご老人なら、{np},,0x0E02572C
0x0E024B5C,26,キットこのおかのふもとに{nl},,0x0E025730
0x0E024B78,24,すんでいる人ですわッ！{np},,0x0E025734
0x0E024B90,22,よくもオレ様の大切な{nl},,0x0E025738
0x0E024BA8,20,{momo}ちゃんとオレ様を{nl},,0x0E02573C
0x0E024BBC,24,戦わせようとしたガン！{np},,0x0E025740
0x0E024BD4,22,こうしてやるゴン！！{np},,0x0E025744
0x0E024BEC,27,あーれぇぇぇぇぇーーーーー,,0x0E025778
0x0E025784,20,ひさしぶりだガン、{nl},,0x0E025F18
0x0E025798,14,{momo}ちゃん！！{np},,0x0E025F20
0x0E0257A8,18,…ごめん…よく…{nl},,0x0E025F34
0x0E0257BC,28,おぼえてナイんだけど………{np},,0x0E025F38
0x0E0257D8,26,なっ…おぼえてナイ………{nl},,0x0E025F4C
0x0E0257F4,26,オレ様のコト…おぼえて…{nl},,0x0E025F50
0x0E025810,12,ない………{np},,0x0E025F54
